evaluation_id	dataset	mode	query_id	query_text	relevant_docs	average_precision	recall	precision_at_10	ndcg
20260625T140409Z	argsme_touche2022	bm25	1	Should teachers get tenure?	105	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	2	Is vaping with e-cigarettes safe?	69	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	3	Should insider trading be allowed?	55	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	4	Should corporal punishment be used in schools?	122	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	5	Should social security be privatized?	85	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	6	Is a college education worth it?	111	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	7	Should felons who have completed their sentence be allowed to vote?	105	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	8	Should abortion be legal?	125	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	9	Should students have to wear school uniforms?	126	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	10	Should any vaccines be required for children?	105	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	11	Should performance-enhancing drugs be accepted in sports?	119	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	12	Should birth control pills be available over the counter?	85	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	13	Can alternative energy effectively replace fossil fuels?	103	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	14	Is sexual orientation determined at birth?	88	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	15	Should animals be used for scientific or commercial testing?	113	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	16	Should prescription drugs be advertised directly to consumers?	87	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	17	Should recreational marijuana be legal?	131	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	18	Should churches remain tax-exempt?	93	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	19	Should gay marriage be legal?	123	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	20	Is drinking milk healthy for humans?	121	0.0	0.0	0.0	0.0
